
2025-12-03 11:48:21.931154
2025-12-03 15:38:01.448788
2025-12-03 15:39:29.648730
2025-12-03 16:17:34.8186710.0; F1=0.667, Pr=0.605, Re=0.744; {'seq_avg': {'precision': 0.6047846378449483, 'recall': 0.7443151255902873, 'f1': 0.667334419400406}, 'frame_avg': {'precision': 0.5451762417742807, 'recall': 0.7288334589698913, 'f1': 0.6237671280029653}}
0.55; F1=0.556, Pr=0.494, Re=0.635; {'seq_avg': {'precision': 0.4941794426112968, 'recall': 0.6353349892978177, 'f1': 0.5559371036135873}, 'frame_avg': {'precision': 0.46186538079767464, 'recall': 0.6489970740224905, 'f1': 0.5396694783036842}}
0.6; F1=0.518, Pr=0.458, Re=0.594; {'seq_avg': {'precision': 0.45834991232397215, 'recall': 0.5942772429569699, 'f1': 0.5175373271322458}, 'frame_avg': {'precision': 0.435429860632068, 'recall': 0.619560203768392, 'f1': 0.5114266423605741}}
0.65; F1=0.474, Pr=0.418, Re=0.547; {'seq_avg': {'precision': 0.4177463210066618, 'recall': 0.5474179016596387, 'f1': 0.4738713041802544}, 'frame_avg': {'precision': 0.4040891342170608, 'recall': 0.5837458268537844, 'f1': 0.4775804766424963}}
0.7; F1=0.425, Pr=0.372, Re=0.494; {'seq_avg': {'precision': 0.37246001953265895, 'recall': 0.4941480558554319, 'f1': 0.4247603957614099}, 'frame_avg': {'precision': 0.3673480800304383, 'recall': 0.540726949840536, 'f1': 0.43748589116663517}}
0.75; F1=0.369, Pr=0.321, Re=0.433; {'seq_avg': {'precision': 0.32070449810707574, 'recall': 0.43343036185740647, 'f1': 0.3686424644801447}, 'frame_avg': {'precision': 0.3244060798359191, 'recall': 0.4892771178556839, 'f1': 0.3901382557911393}}
0.8; F1=0.307, Pr=0.264, Re=0.365; {'seq_avg': {'precision': 0.2642903831831596, 'recall': 0.3654174008924936, 'f1': 0.3067337179115089}, 'frame_avg': {'precision': 0.27567113049321584, 'recall': 0.42854567273307587, 'f1': 0.33551505595739267}}
0.85; F1=0.244, Pr=0.208, Re=0.297; {'seq_avg': {'precision': 0.20785547792991055, 'recall': 0.2965188997430289, 'f1': 0.24439416572149644}, 'frame_avg': {'precision': 0.22577595987252477, 'recall': 0.36327243059967806, 'f1': 0.27847688930316467}}
0.9; F1=0.183, Pr=0.154, Re=0.226; {'seq_avg': {'precision': 0.15357191554900726, 'recall': 0.22630475393383362, 'f1': 0.1829754620455069}, 'frame_avg': {'precision': 0.17332587002355923, 'recall': 0.28966847120464506, 'f1': 0.21687971242479176}}
0.95; F1=0.126, Pr=0.104, Re=0.159; {'seq_avg': {'precision': 0.10430210165792336, 'recall': 0.158593396382129, 'f1': 0.1258418244134711}, 'frame_avg': {'precision': 0.1247649161418703, 'recall': 0.21499710545547013, 'f1': 0.15789931850997996}}
1.0; F1=0.075, Pr=0.061, Re=0.096; {'seq_avg': {'precision': 0.06102129689456793, 'recall': 0.09570509312397169, 'f1': 0.07452540572330305}, 'frame_avg': {'precision': 0.07986612413430491, 'recall': 0.13991804713175457, 'f1': 0.10168805202378929}}
