
2025-12-03 19:13:46.6919320.0; F1=0.807, Pr=0.764, Re=0.855; {'seq_avg': {'precision': 0.7644355521637825, 'recall': 0.8547183642589501, 'f1': 0.8070599071524343}, 'frame_avg': {'precision': 0.7207860318934889, 'recall': 0.8479616518373444, 'f1': 0.779218889773427}}
0.55; F1=0.747, Pr=0.705, Re=0.795; {'seq_avg': {'precision': 0.7051613935366357, 'recall': 0.7948174196369112, 'f1': 0.7473099677355384}, 'frame_avg': {'precision': 0.6802080981236377, 'recall': 0.8086308433546401, 'f1': 0.7388807918957807}}
0.6; F1=0.721, Pr=0.679, Re=0.769; {'seq_avg': {'precision': 0.679498762008072, 'recall': 0.768736027224017, 'f1': 0.7213680857462296}, 'frame_avg': {'precision': 0.6626100863078721, 'recall': 0.790474420169748, 'f1': 0.7209165350506872}}
0.65; F1=0.686, Pr=0.645, Re=0.732; {'seq_avg': {'precision': 0.6454033040971165, 'recall': 0.7321750932855942, 'f1': 0.686056380213193}, 'frame_avg': {'precision': 0.639295402432608, 'recall': 0.7651607694337955, 'f1': 0.6965881482378549}}
0.7; F1=0.645, Pr=0.606, Re=0.689; {'seq_avg': {'precision': 0.6056053015235753, 'recall': 0.6892081948682115, 'f1': 0.6447077325480522}, 'frame_avg': {'precision': 0.6094251287218424, 'recall': 0.7321083805382455, 'f1': 0.6651570623739971}}
0.75; F1=0.591, Pr=0.554, Re=0.632; {'seq_avg': {'precision': 0.5542873882067741, 'recall': 0.6324679755521662, 'f1': 0.5908025074061437}, 'frame_avg': {'precision': 0.5706057074903238, 'recall': 0.6882469397434949, 'f1': 0.6239294691770927}}
0.8; F1=0.527, Pr=0.493, Re=0.566; {'seq_avg': {'precision': 0.4932283937462301, 'recall': 0.5662813032824012, 'f1': 0.5272363592514676}, 'frame_avg': {'precision': 0.5204004998667459, 'recall': 0.6314322119009537, 'f1': 0.5705648664916412}}
0.85; F1=0.456, Pr=0.425, Re=0.492; {'seq_avg': {'precision': 0.42520012392471757, 'recall': 0.492125423247548, 'f1': 0.4562214398070522}, 'frame_avg': {'precision': 0.45980964850986605, 'recall': 0.5625223325471793, 'f1': 0.5060062695877571}}
0.9; F1=0.372, Pr=0.345, Re=0.403; {'seq_avg': {'precision': 0.34499693169774276, 'recall': 0.4033948823462716, 'f1': 0.3719174744042585}, 'frame_avg': {'precision': 0.3864464997581286, 'recall': 0.47777859551278257, 'f1': 0.4272865180740701}}
0.95; F1=0.279, Pr=0.257, Re=0.304; {'seq_avg': {'precision': 0.2573754971308719, 'recall': 0.3042290843072582, 'f1': 0.2788478385085135}, 'frame_avg': {'precision': 0.3005789706520305, 'recall': 0.37614811079160204, 'f1': 0.3341441921114046}}
1.0; F1=0.180, Pr=0.165, Re=0.199; {'seq_avg': {'precision': 0.16463406113709983, 'recall': 0.19875296959587185, 'f1': 0.18009177972931958}, 'frame_avg': {'precision': 0.20816011411464033, 'recall': 0.2649773143190882, 'f1': 0.23315723792575907}}
